,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
143,AbsBound,20f4s,2,s6,0.00203593764633275,zone2
144,AbsBound,20f2s,3,s6,0.0007792410761249868,zone2
145,AbsBound,20f4s,3,s6,0.0015091518382651708,zone2
146,AbsBound,20f2s,4,s6,0.0008997767969215932,zone2
147,AbsBound,20f4s,4,s6,0.0017154018715611348,zone2
148,AbsBound,20f2s,5,s6,0.0012125000181874783,zone2
149,AbsBound,20f4s,5,s6,0.002343973375329492,zone2
150,AbsBound,20f2s,1,s7,0.0007823660780298184,zone3
151,AbsBound,20f4s,1,s7,0.001252008964622487,zone3
152,AbsBound,20f2s,2,s7,0.0006966517909391489,zone3
153,AbsBound,20f4s,2,s7,0.001480580407707083,zone3
154,AbsBound,20f2s,3,s7,0.0007823660780298184,zone3
155,AbsBound,20f4s,3,s7,0.001805803681389414,zone3
156,AbsBound,20f2s,4,s7,0.0010680803694923528,zone3
157,AbsBound,20f4s,4,s7,0.0019787947810192196,zone3
158,AbsBound,20f2s,5,s7,0.0009854910848911451,zone3
159,AbsBound,20f4s,5,s7,0.0018296875977739382,zone3
160,AbsBound,20f2s,1,s8,0.0008093750060700537,zone3
161,AbsBound,20f4s,1,s8,0.0016312500815623906,zone3
162,AbsBound,20f2s,2,s8,0.0006093750034277335,zone3
163,AbsBound,20f4s,2,s8,0.001339285758290774,zone3
164,AbsBound,20f2s,3,s8,0.0010426339436526368,zone3
165,AbsBound,20f4s,3,s8,0.0017725447345706734,zone3
166,AbsBound,20f2s,4,s8,0.0008997767969215932,zone3
