,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
210,DRM,20f2s,1,s4,0.007998767771577882,zone2
211,DRM,20f4s,1,s4,0.003882469957750721,zone2
212,DRM,20f2s,2,s4,0.00708153433797705,zone2
213,DRM,20f4s,2,s4,0.004582792445859136,zone2
214,DRM,20f2s,3,s4,0.007946185771744671,zone2
215,DRM,20f4s,3,s4,0.003256494669527524,zone2
216,DRM,20f2s,4,s4,0.007924738475578558,zone2
217,DRM,20f4s,4,s4,0.005872729749951303,zone2
218,DRM,20f2s,5,s4,0.008387088928291136,zone2
219,DRM,20f4s,5,s4,0.005578569858602725,zone2
220,DRM,20f2s,1,s5,0.0038954650100902926,zone2
221,DRM,20f4s,1,s5,0.0022363638152728287,zone2
222,DRM,20f2s,2,s5,0.0037928648911384126,zone2
223,DRM,20f4s,2,s5,0.002737987397372033,zone2
224,DRM,20f2s,3,s5,0.003500331107751403,zone2
225,DRM,20f4s,3,s5,0.0026474033011991767,zone2
226,DRM,20f2s,4,s5,0.004383781487617853,zone2
227,DRM,20f4s,4,s5,0.002025000101249769,zone2
228,DRM,20f2s,5,s5,0.004265592761189112,zone2
229,DRM,20f4s,5,s5,0.0036237019752039515,zone2
230,DRM,20f2s,1,s6,0.003882150760092475,zone2
231,DRM,20f4s,1,s6,0.0030490261629074096,zone2
232,DRM,20f2s,2,s6,0.00347663076152907,zone2
233,DRM,20f4s,2,s6,0.0026594156004756723,zone2
234,DRM,20f2s,3,s6,0.00400909921157126,zone2
235,DRM,20f4s,3,s6,0.0016652596828407756,zone2
236,DRM,20f2s,4,s6,0.004189297863249434,zone2
237,DRM,20f4s,4,s6,0.0018136364081530502,zone2
238,DRM,20f2s,5,s6,0.0041211149160723555,zone2
239,DRM,20f4s,5,s6,0.0031120129649865615,zone2
240,DRM,20f2s,1,s7,0.0030237034127408805,zone3
241,DRM,20f4s,1,s7,0.003492532550536851,zone3
242,DRM,20f2s,2,s7,0.002486040789247316,zone3
243,DRM,20f4s,2,s7,0.0017003247969975348,zone3
244,DRM,20f2s,3,s7,0.0025594182289261926,zone3
245,DRM,20f4s,3,s7,0.001352922146622302,zone3
246,DRM,20f2s,4,s7,0.003030523058110863,zone3
247,DRM,20f4s,4,s7,0.00208668843851579,zone3
248,DRM,20f2s,5,s7,0.0033513036564409085,zone3
249,DRM,20f4s,5,s7,0.0026912340100174936,zone3
250,DRM,20f2s,1,s8,0.002766236944891514,zone3
251,DRM,20f4s,1,s8,0.0020422078487003052,zone3
252,DRM,20f2s,2,s8,0.003346108106985382,zone3
253,DRM,20f4s,2,s8,0.002121103926680555,zone3
254,DRM,20f2s,3,s8,0.003235067469341209,zone3
255,DRM,20f4s,3,s8,0.002568181605723107,zone3
256,DRM,20f2s,4,s8,0.0028623398035164354,zone3
257,DRM,20f4s,4,s8,0.002833116919542737,zone3
258,DRM,20f2s,5,s8,0.0030538991236866092,zone3
259,DRM,20f4s,5,s8,0.0028834415395308194,zone3
260,DRM,20f2s,1,s9,0.00260876785899445,zone3
261,DRM,20f4s,1,s9,0.0022766233293171653,zone3
262,DRM,20f2s,2,s9,0.0024207810316492578,zone3
263,DRM,20f4s,2,s9,0.0019451298787186424,zone3
264,DRM,20f2s,3,s9,0.0016204550455859667,zone3
265,DRM,20f4s,3,s9,0.0015383116775236486,zone3
266,DRM,20f2s,4,s9,0.0023227287719428274,zone3
267,DRM,20f4s,4,s9,0.0021850649997655538,zone3
268,DRM,20f2s,5,s9,0.0027896119546912406,zone3
269,DRM,20f4s,5,s9,0.0022788960683811066,zone3
