,Sim_Type,Nsubs,Iteration,Station,BShear_X,BShear_Y,Zone
167,AbsBound,20f4s,3,s7,20.039698051432467,1.8878141907262724,zone3
168,AbsBound,20f4s,4,s7,46.965845810467464,70.846626200415,zone3
169,AbsBound,20f4s,5,s7,10.5619743011213,19.867549046583793,zone3
170,AbsBound,20f4s,1,s8,35.58357088439253,51.65726544837372,zone3
171,AbsBound,20f4s,2,s8,28.09443421049623,24.226475433172467,zone3
172,AbsBound,20f4s,3,s8,20.714751248381255,8.428450521408712,zone3
173,AbsBound,20f4s,4,s8,30.976804294845024,9.619343690535002,zone3
174,AbsBound,20f4s,5,s8,6.296556520297417,11.983616274539978,zone3
175,AbsBound,20f4s,1,s9,28.813990020348704,24.34092923099255,zone3
176,AbsBound,20f4s,2,s9,14.31117836246246,27.817484853041258,zone3
177,AbsBound,20f4s,3,s9,9.693101698893742,7.57633913906246,zone3
178,AbsBound,20f4s,4,s9,25.154359140791247,12.082551718207396,zone3
179,AbsBound,20f4s,5,s9,39.752475235646195,31.543632552974938,zone3
180,DRM,20f2s,1,s1,65.96737126772624,171.68106391534116,zone1
181,DRM,20f2s,2,s1,403.2608678996625,266.23799517996014,zone1
182,DRM,20f2s,3,s1,311.82002365267124,88.97420750898365,zone1
183,DRM,20f2s,4,s1,140.41756783788742,180.5187535376511,zone1
184,DRM,20f2s,5,s1,161.69169919845402,21.701228216861317,zone1
185,DRM,20f2s,1,s2,144.81191596288508,128.99759336543244,zone1
186,DRM,20f2s,2,s2,70.44389293908371,84.06304095962255,zone1
187,DRM,20f2s,3,s2,80.53122075221256,36.945407066591244,zone1
188,DRM,20f2s,4,s2,21.699477627525013,6.030049871025005,zone1
189,DRM,20f2s,5,s2,84.25180628753614,47.48584801311015,zone1
190,DRM,20f2s,1,s3,211.60616760382504,182.1178391489549,zone1
191,DRM,20f2s,2,s3,50.63063938424994,7.990228342935043,zone1
192,DRM,20f2s,3,s3,86.91640506079878,71.7198076501764,zone1
193,DRM,20f2s,4,s3,27.016267171826215,16.780979905368813,zone1
194,DRM,20f2s,5,s3,30.71326352952374,48.091011861408674,zone1
195,DRM,20f2s,1,s4,142.23364320772112,98.78652474276377,zone2
196,DRM,20f2s,2,s4,179.68335281622007,35.95435403494504,zone2
197,DRM,20f2s,3,s4,65.23239865531508,11.905232895652466,zone2
198,DRM,20f2s,4,s4,36.65084141839496,119.5465460233389,zone2
199,DRM,20f2s,5,s4,40.01954720914122,2.1091600288349874,zone2
200,DRM,20f2s,1,s5,7.2798291225000105,4.493009845608729,zone2
201,DRM,20f2s,2,s5,6.29044404143626,17.723979949196263,zone2
202,DRM,20f2s,3,s5,19.93520044734754,2.906177951621274,zone2
203,DRM,20f2s,4,s5,23.315660396145017,37.97941615188749,zone2
204,DRM,20f2s,5,s5,26.294442413838738,26.089158510787453,zone2
205,DRM,20f2s,1,s6,7.166767990083778,7.695773794282493,zone2
206,DRM,20f2s,2,s6,17.220874178486234,20.204220628158758,zone2
207,DRM,20f2s,3,s6,95.67328252038742,0.12058511025368535,zone2
208,DRM,20f2s,4,s6,35.800625101904984,52.62838278304505,zone2
209,DRM,20f2s,5,s6,51.780092033182434,88.16899340075636,zone2
210,DRM,20f2s,1,s7,16.2870588456975,8.186120811990033,zone3
211,DRM,20f2s,2,s7,6.098250951258829,9.15529950254249,zone3
212,DRM,20f2s,3,s7,12.248571928848753,6.512196465630011,zone3
213,DRM,20f2s,4,s7,42.25180551222375,53.75654267196375,zone3
214,DRM,20f2s,5,s7,6.70280283363369,12.216417041441254,zone3
215,DRM,20f2s,1,s8,29.126351467327485,33.55941681745873,zone3
216,DRM,20f2s,2,s8,27.187266078967514,18.28918936464749,zone3
217,DRM,20f2s,3,s8,9.99390930185251,4.376810698008762,zone3
218,DRM,20f2s,4,s8,29.158216077206223,11.953806148023775,zone3
219,DRM,20f2s,5,s8,4.725855908954982,9.594154748969974,zone3
220,DRM,20f2s,1,s9,26.40674946749628,14.529886600353752,zone3
221,DRM,20f2s,2,s9,9.649661508809947,23.540643203006223,zone3
222,DRM,20f2s,3,s9,5.340150827054967,6.480247225634978,zone3
223,DRM,20f2s,4,s9,23.483531165748804,10.13103177440624,zone3
224,DRM,20f2s,5,s9,33.90416055287997,27.40019421687758,zone3
225,DRM,20f4s,1,s1,88.82374701527645,228.00195586216518,zone1
226,DRM,20f4s,2,s1,535.2178451746687,340.8017372191313,zone1
227,DRM,20f4s,3,s1,415.8402167568449,130.29766195932018,zone1
228,DRM,20f4s,4,s1,194.58367426837873,227.19089025388857,zone1
229,DRM,20f4s,5,s1,223.62437262276737,35.63395504161369,zone1
230,DRM,20f4s,1,s2,190.15929030505131,166.38445961695126,zone1
231,DRM,20f4s,2,s2,96.29823408059991,103.34258386928987,zone1
232,DRM,20f4s,3,s2,107.39561041786136,51.72307962487871,zone1
233,DRM,20f4s,4,s2,32.339336358914935,8.020258683491425,zone1
234,DRM,20f4s,5,s2,106.99180130693604,55.51317962584484,zone1
235,DRM,20f4s,1,s3,289.2652606178437,248.51376637610633,zone1
236,DRM,20f4s,2,s3,64.16372851385611,9.64335921522364,zone1
237,DRM,20f4s,3,s3,121.43475091141119,96.58080033387745,zone1
238,DRM,20f4s,4,s3,23.99845453090126,36.82971070252124,zone1
239,DRM,20f4s,5,s3,28.53546464035871,77.16380606131116,zone1
240,DRM,20f4s,1,s4,182.30458565885252,135.39937766414627,zone2
241,DRM,20f4s,2,s4,244.1423983052514,37.80724780161376,zone2
242,DRM,20f4s,3,s4,86.76117050111236,11.778477877544981,zone2
243,DRM,20f4s,4,s4,50.178738676372404,161.27993626337224,zone2
244,DRM,20f4s,5,s4,49.06519792287008,5.295973256437341,zone2
245,DRM,20f4s,1,s5,8.095661736311063,13.264603709328643,zone2
246,DRM,20f4s,2,s5,6.166776346844958,27.89670387470622,zone2
