,Sim_Type,Nsubs,Iteration,Station,s1,s5,s10,s15,s20
118,AbsBound,20f2s,4,s6,0.0002785714285715279,0.00039740259811293785,0.0005256493537210965,0.0009305194883152151,0.0009711039024893418
119,AbsBound,20f2s,5,s6,0.0003879870133276581,0.0005282467551255126,0.0006662337702137918,0.0010282467604087282,0.0011282467618741953
120,AbsBound,20f2s,1,s7,0.0003756493522108282,0.000625649355019169,0.0009373376760806159,0.0012827922263282617,0.0013113636557383454
121,AbsBound,20f2s,2,s7,0.0002685064942908962,0.00046850649594010576,0.0006827922130041232,0.0008590909157305303,0.0008327922155674581
122,AbsBound,20f2s,3,s7,0.00020941558451438396,0.00031168831212403616,0.0004353896116617711,0.0006139610415036615,0.0006496753275242709
123,AbsBound,20f2s,4,s7,0.00039480519619136206,0.0006636363695209733,0.0008470779301240398,0.001104220792935712,0.0011185065075802706
124,AbsBound,20f2s,5,s7,0.00028279220866668183,0.0004993506526581275,0.0008350649444209462,0.0009542207894443619,0.001011363647856491
125,AbsBound,20f2s,1,s8,0.00023311688336066056,0.00038993506661429356,0.0006113636405321833,0.0006970779275096189,0.0006733766274444079
126,AbsBound,20f2s,2,s8,0.0003068181824469995,0.00046850649594010576,0.0007042207847670008,0.0009211039018455744,0.000985389616965034
127,AbsBound,20f2s,3,s8,0.0003090909099356015,0.0005493506533660207,0.0009564935187912984,0.0011993506687458287,0.0012207792408769143
128,AbsBound,20f2s,4,s8,0.00037564935221082814,0.0005873376676773738,0.0009159091040266091,0.0010899350782956274,0.0011113636502579913
129,AbsBound,20f2s,5,s8,0.0003616883122763416,0.000578246755499654,0.0009064935175326881,0.0012516234012317192,0.0012516234012317192
130,AbsBound,20f2s,1,s9,0.00027110389659600325,0.00046850649594010576,0.0007256493565391467,0.001130519492046023,0.0011162337774697844
131,AbsBound,20f2s,2,s9,0.0002048701297731966,0.00029512987032666267,0.00036396103984859306,0.0006068181843006476,0.0006282467559096894
132,AbsBound,20f2s,3,s9,0.00025941558456895274,0.0003308441560917068,0.0003974025981129379,0.000502272727843791,0.0005665584422854937
133,AbsBound,20f2s,4,s9,0.00024253246792575915,0.0004327922098666362,0.0006399350695061549,0.000809090914974995,0.0008233766294733806
134,AbsBound,20f2s,5,s9,0.00036136363780266655,0.0005827922115766948,0.0008207792298153334,0.0008542207874046588,0.0009042207883968485
135,AbsBound,20f4s,1,s1,0.002869805472240472,0.0042431825877407925,0.006697405024135888,0.008261367793358678,0.008555197785287095
136,AbsBound,20f4s,2,s1,0.0033110391592812475,0.00468668895656439,0.005432793998497693,0.008300651845162524,0.008731496439078841
137,AbsBound,20f4s,3,s1,0.007322409420510542,0.012653267638142455,0.01932959353251618,0.02256987309460365,0.022369871893323914
138,AbsBound,20f4s,4,s1,0.0017353896308436134,0.0022107144065190596,0.002214935240409324,0.003777597692912558,0.004384740651200291
139,AbsBound,20f4s,5,s1,0.00535000141776063,0.008094484802724504,0.010835725918655371,0.01339352188606819,0.013522093612795863
140,AbsBound,20f4s,1,s2,0.0015470779490781978,0.0022064935724757655,0.0025801949104575428,0.0037535717784629983,0.004017857543949599
141,AbsBound,20f4s,2,s2,0.001649026028957712,0.002506168958593043,0.0033107145576656625,0.003998701731807508,0.004084740599320694
142,AbsBound,20f4s,3,s2,0.0012685065116278353,0.0020272728378511046,0.003205519827090093,0.0039009744721857087,0.003929545907390625
143,AbsBound,20f4s,4,s2,0.0007220779148314402,0.0011301948252300802,0.0016899350971718665,0.0022418832187538307,0.0023347403703283787
144,AbsBound,20f4s,5,s2,0.0018834415503694983,0.0025873377681833757,0.0027837665461265364,0.004357468344258241,0.004391234418565676
145,AbsBound,20f4s,1,s3,0.0012727273088877756,0.0021750001169098467,0.0032009743259093617,0.0040964289883916325,0.004143831672573015
146,AbsBound,20f4s,2,s3,0.0008214285714283518,0.001209090922280981,0.0018181818776856823,0.0023516234640101065,0.002342207866605877
147,AbsBound,20f4s,3,s3,0.001157142857142922,0.0014782467680785048,0.0018159091429102085,0.0025305195385256075,0.0028448052681470104
148,AbsBound,20f4s,4,s3,0.0015068181972302057,0.002094480588743688,0.0026535716029491,0.003258766401892328,0.0035704548047465635
149,AbsBound,20f4s,5,s3,0.0017107143578087352,0.002862662613704855,0.004082143271188745,0.004853572014466733,0.004829546139462711
